#SKILL
Name         reserved~
Type         Spell
Info         0
Flags        0
Minpos       112
Slot         95
Code         spell_null
Dammsg       ~
Wearoff      ???~
Minlevel     0
End

#SKILL
Name         acid blast~
Type         Spell
Info         5
Flags        0
Target       1
Minpos       109
Slot         70
Mana         20
Rounds       12
Code         spell_acid_blast
Dammsg       acid blast~
Wearoff      !Acid Blast!~
Minlevel     0
End

#SKILL
Name         acid breath~
Type         Spell
Info         2053
Flags        131072
Target       1
Minpos       109
Saves        5
Slot         200
Mana         20
Rounds       4
Code         spell_acid_breath
Dammsg       blast of acid~
Wearoff      !Acid Breath!~
Minlevel     0
End

#SKILL
Name         acidmist~
Type         Spell
Info         1536
Flags        0
Target       3
Minpos       112
Slot         9
Mana         70
Rounds       15
Code         spell_smaug
Dammsg       ~
Wearoff      The cloud of acidic mist around you dissipates away.~
Hitchar      A vaporous cloud of acidic mist forms around you.~
Hitvict      A vaporous cloud of acidic mist forms around you.~
Hitroom      A vaporous cloud of acidic mist forms around $N.~
Missvict     You fail to conjure the acidic vapors.~
Affect       '(l*4)+8' 26 'acidmist' 34
Minlevel     0
End

#SKILL
Name         acidshot~
Type         Spell
Info         1421
Flags        0
Target       1
Minpos       113
Slot         37
Mana         15
Rounds       12
Code         spell_smaug
Dammsg       droplet of acid~
Hitchar      $N is burned by your acidmist!~
Hitvict      You are burned by droplets of acid from $n's acidmist!~
Hitroom      Droplets of acid from $n's acidmist horribly burn $N!~
Diechar      $N's body dissolves under the onslaught of acid!~
Dievict      The acid overwhelms you and dissolves you into goo!~
Dieroom      $N's body dissolves under the onslaught of $n's acidmist!&z~
Dice         l/2+30~
Minlevel     0
End

#SKILL
Name         aegis~
Type         Skill
Info         0
Flags        0
Code         spell_aegis
Dammsg       ~
Minlevel     0
End

#SKILL
Name         aggressive style~
Type         Skill
Info         0
Flags        256
Minpos       107
Rounds       4
Code         spell_null
Dammsg       ~
Wearoff      !aggressive style!~
Teachers     10340 3004~
Minlevel     0
End

#SKILL
Name         aid~
Type         Skill
Info         0
Flags        256
Minpos       107
Rounds       12
Code         do_aid
Dammsg       ~
Wearoff      !Aid!~
Minlevel     0
End

#SKILL
Name         alertness~
Type         Spell
Info         0
Flags        256
Target       3
Minpos       111
Slot         102
